index	AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
29847	Trifolium pratense	2341420	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
29856	Trifolium pratense	2341421	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
29863	Trifolium pratense	2341422	159	Seedbank type	Seedbank type	transient	
29929	Trifolium pratense	2341429	33	Seed (seedbank) longevity	Seedbank longevity index	1.0	year
29958	Trifolium pratense	2341432	33	Seed (seedbank) longevity	Seedbank longevity index	0.5	year
29974	Trifolium pratense	2341434	159	Seedbank type	Seedbank type	short-term persistent	
30333	Trifolium pratense	2341474	33	Seed (seedbank) longevity	Seedbank longevity index	0.5	year
30377	Trifolium pratense	2341479	159	Seedbank type	Seedbank type	transient	
30495	Trifolium pratense	2341492	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
30574	Trifolium pratense	2341501	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
30628	Trifolium pratense	2341507	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
30635	Trifolium pratense	2341508	159	Seedbank type	Seedbank type	transient	
30653	Trifolium pratense	2341510	159	Seedbank type	Seedbank type	present	
30688	Trifolium pratense	2341514	159	Seedbank type	Seedbank type	transient	
30812	Trifolium pratense	2341528	159	Seedbank type	Seedbank type	transient	
31124	Trifolium pratense	2341564	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
31205	Trifolium pratense	2341573	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
31214	Trifolium pratense	2341574	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
31418	Trifolium pratense	2341597	159	Seedbank type	Seedbank type	transient	
31491	Trifolium pratense	2341605	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
31570	Trifolium pratense	2341614	159	Seedbank type	Seedbank type	transient	
31603	Dactylis glomerata	2360480	159	Seedbank type	Seedbank type	present	
31622	Dactylis glomerata	2360482	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
31739	Dactylis glomerata	2360495	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
31748	Dactylis glomerata	2360496	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
31996	Dactylis glomerata	2360523	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
32050	Dactylis glomerata	2360529	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
32084	Dactylis glomerata	2360533	159	Seedbank type	Seedbank type	transient	
32201	Dactylis glomerata	2360546	159	Seedbank type	Seedbank type	transient	
32518	Dactylis glomerata	2360581	159	Seedbank type	Seedbank type	transient	
32527	Dactylis glomerata	2360582	159	Seedbank type	Seedbank type	short-term persistent	
32536	Dactylis glomerata	2360583	159	Seedbank type	Seedbank type	short-term persistent	
32618	Dactylis glomerata	2360592	159	Seedbank type	Seedbank type	transient	
32946	Dactylis glomerata	2360628	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
32953	Dactylis glomerata	2360629	159	Seedbank type	Seedbank type	transient	
33088	Dactylis glomerata	2360644	159	Seedbank type	Seedbank type	transient	
33133	Dactylis glomerata	2360649	159	Seedbank type	Seedbank type	transient	
33188	Dactylis glomerata	2360655	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
33341	Dactylis glomerata	2360672	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
33456	Dactylis glomerata	2360685	159	Seedbank type	Seedbank type	transient	
33467	Dactylis glomerata	2360686	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
33465	Dactylis glomerata	2360686	159	Seedbank type	Seedbank type	transient	
33683	Dactylis glomerata	2360710	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
33780	Dactylis glomerata	2360721	159	Seedbank type	Seedbank type	transient	
33825	Dactylis glomerata	2360726	159	Seedbank type	Seedbank type	transient	
